"","x"
"359","Tbrucei---Tb927.6.3150"
"360","Tbrucei---Tb927.1.5060"
"361","Tbrucei---Tb927.7.2680"
"362","Tbrucei---Tb927.5.3820"
"363","Tbrucei---Tb927.7.2290"
"364","Tbrucei---Tb927.9.3650"
"365","Tbrucei---Tb927.11.14850"
"366","Tbrucei---Tb927.10.2950"
"367","Tbrucei---Tb927.3.1900"
"368","Tbrucei---Tb927.8.770"
"369","Tbrucei---Tb927.10.2210"
"370","Tbrucei---Tb927.7.7130"
"371","Tbrucei---Tb927.4.3740"
"372","Tbrucei---Tb927.3.5080"
"373","Tbrucei---Tb927.9.15650"
"374","Tbrucei---Tb927.5.2950"
"375","Tbrucei---Tb927.11.14190"
"376","Tbrucei---Tb927.10.14540"
"377","Tbrucei---Tb927.10.5160"
"378","Tbrucei---Tb927.10.8930"
"379","Tbrucei---Tb927.5.110"
"380","Tbrucei---Tb927.10.13860"
"381","Tbrucei---Tb927.1.600"
"382","Tbrucei---Tb927.4.1680"
"383","Tbrucei---Tb927.7.4270"
"384","Tbrucei---Tb927.8.3750"
"385","Tbrucei---Tb927.6.4520"
"386","Tbrucei---Tb927.7.3090"
"387","Tbrucei---Tb927.10.2560"
"388","Tbrucei---Tb927.7.6910"
"389","Tbrucei---Tb927.8.4450"
"390","Tbrucei---Tb927.11.6280"
"391","Tbrucei---Tb927.10.4780"
"392","Tbrucei---Tb927.7.650"
"393","Tbrucei---Tb927.10.1560"
"394","Tbrucei---Tb927.7.3560"
"395","Tbrucei---Tb927.11.11435"
"396","Tbrucei---Tb927.11.5520"
"397","Tbrucei---Tb927.10.7180"
"398","Tbrucei---Tb927.5.1930"
"399","Tbrucei---Tb927.2.5160"
"400","Tbrucei---Tb927.11.4480"
"401","Tbrucei---Tb927.2.3780"
"402","Tbrucei---Tb927.11.12420"
"403","Tbrucei---Tb927.11.17870"
"404","Tbrucei---Tb927.3.1790"
"405","Tbrucei---Tb927.3.1380"
"406","Tbrucei---Tb927.1.5100"
"407","Tbrucei---Tb927.11.2790"
"408","Tbrucei---Tb927.6.2850"
"409","Tbrucei---Tb927.8.5090"
"410","Tbrucei---Tb927.11.12710"
"411","Tbrucei---Tb927.5.2660"
"412","Tbrucei---Tb927.9.15460"
"413","Tbrucei---Tb927.3.3300"
"414","Tbrucei---Tb927.11.2410"
"415","Tbrucei---Tb927.8.8280"
"416","Tbrucei---Tb927.9.7950"
"417","Tbrucei---Tb927.11.630"
"418","Tbrucei---Tb927.10.8780"
"419","Tbrucei---Tb927.10.7120"
"420","Tbrucei---Tb927.11.10810"
"421","Tbrucei---Tb927.11.1470"
"422","Tbrucei---Tb927.11.1230"
"423","Tbrucei---Tb9.NT.34"
"424","Tbrucei---Tb927.6.560"
"425","Tbrucei---Tb927.2.4590"
"426","Tbrucei---Tb927.7.190"
"427","Tbrucei---Tb927.11.3720"
"428","Tbrucei---Tb927.10.14760"
"429","Tbrucei---Tb927.9.8880"
"430","Tbrucei---Tb927.6.3740"
"431","Tbrucei---Tb927.7.4070"
"432","Tbrucei---Tb927.11.12140"
"433","Tbrucei---Tb927.10.14790"
"434","Tbrucei---Tb927.5.4610"
"435","Tbrucei---Tb927.4.1230"
"436","Tbrucei---Tb927.10.12850"
"437","Tbrucei---Tb927.11.1020"
"438","Tbrucei---Tb927.8.6720"
"439","Tbrucei---Tb927.6.630"
"440","Tbrucei---Tb927.9.11580"
"441","Tbrucei---Tb927.5.1160"
"442","Tbrucei---Tb927.8.4100"
"443","Tbrucei---Tb927.10.1570"
"444","Tbrucei---Tb927.11.12120"
"445","Tbrucei---Tb927.8.7700"
"446","Tbrucei---Tb927.10.4760"
"447","Tbrucei---Tb927.10.1060"
"448","Tbrucei---Tb927.10.12840"
"449","Tbrucei---Tb927.11.15800"
"450","Tbrucei---Tb927.11.6890"
"451","Tbrucei---Tb927.11.9100"
"452","Tbrucei---Tb927.10.6510"
"453","Tbrucei---Tb927.11.7580"
"454","Tbrucei---Tb927.7.2090"
"455","Tbrucei---Tb927.8.2630"
